ID Galaxy RA Dec r rgc [Fe/H] Age Rc Rh µV0 AV GCMass FoVMass [Fe/H]Source AgeSource StructualSource
NGC1978 LMC 82.188 -66.236 50.1 50.0 -0.38 1.9 18 40 18.4 0.21 5.1 4.6 Mu08 Mu07 Fi92+Go06
NGC2004 LMC 82.678 -67.286 50.1 50.0 -0.58 0.02 6 22 16.2 0.36 4.3 3.9 Ni15 Ni15 McL05
NGC2019 LMC 82.986 -70.160 50.1 50.0 -1.37 12.5 2 10 15.8 0.43 5.5 5.3 Jo06 Ol98 McL05
NGC2100 LMC 85.538 -69.212 50.1 50.0 -0.42 0.02 4 18 15.6 0.65 4.4 4.1 Pa16 Ni15 McL05
NGC2136 LMC 88.241 -69.493 50.1 50.0 -0.40 0.1 7 14 17.1 0.59 4.4 4.1 Mu12 Ni15 McL05
NGC2808 MW 138.013 -64.864 9.6 11.1 -1.14 11.5 15 48 15.1 0.67 6.0 5.2 H Mi14 H
NGC3201 MW 154.403 -46.412 4.9 8.8 -1.59 12.0 78 186 19.0 0.73 5.2 3.3 H Do10 H
NGC4147 MW 182.526 18.543 19.3 21.4 -1.80 12.8 5 29 17.4 0.06 4.7 4.2 H Do10 H
NGC4590 MW 189.867 -26.744 10.3 10.2 -2.23 13.0 35 91 18.8 0.15 5.2 3.7 H Do10 H
NGC4833 MW 194.891 -70.876 6.6 7.0 -1.85 13.0 60 145 18.5 0.98 5.5 3.8 H Do10 H
NGC5024 MW 198.230 18.168 17.9 18.4 -2.10 13.2 21 79 17.4 0.06 5.7 4.7 H Do10 H
NGC5139 MW 201.697 -47.480 5.2 6.4 -1.53 11.0 142 300 16.8 0.37 6.3 4.1 H Vi07 H
NGC5272 MW 205.548 28.377 10.2 12.0 -1.50 12.5 22 139 16.6 0.03 5.8 4.5 H Do10 H
NGC5286 MW 206.612 -51.374 11.7 8.9 -1.69 13.0 17 44 16.2 0.73 5.7 5.0 H Do10 H
NGC5634 MW 217.405 -5.976 25.2 21.2 -1.88 13.0 5 52 17.2 0.15 5.3 4.5 H Me05 H
NGC5694 MW 219.901 -26.539 35.0 29.4 -1.98 13.6 4 24 16.5 0.27 5.4 4.9 H DeA05 H
NGC5824 MW 225.994 -33.068 32.1 25.9 -1.91 13.0 4 27 15.2 0.40 5.8 5.4 H DeA05 H
NGC5904 MW 229.638 2.081 7.5 6.2 -1.29 12.2 26 106 16.1 0.09 5.8 4.5 H Do10 H
NGC5927 MW 232.003 -50.673 7.7 4.6 -0.49 12.2 25 66 16.9 1.37 5.4 4.7 H Do10 H
NGC5986 MW 236.512 -37.786 10.4 4.8 -1.59 13.2 28 59 17.7 0.86 5.6 4.4 H Do10 H
NGC6093 MW 244.260 -22.976 10.0 3.8 -1.75 13.5 9 37 15.1 0.55 5.5 5.0 H Do10 H
NGC6121 MW 245.897 -26.526 2.2 5.9 -1.16 12.5 70 260 18.0 1.07 5.1 3.1 H Do10 H
NGC6139 MW 246.918 -38.849 10.1 3.6 -1.65 nan 9 51 17.2 2.29 5.6 4.8 H nan H
NGC6171 MW 248.133 -13.054 6.4 3.3 -1.02 12.8 34 104 18.9 1.01 5.1 3.6 H Do10 H
NGC6218 MW 251.809 -1.949 4.8 4.5 -1.37 13.2 47 106 18.1 0.58 5.2 3.5 H Do10 H
NGC6254 MW 254.288 -4.100 4.4 4.6 -1.56 13.0 46 117 17.7 0.86 5.2 3.7 H Do10 H
NGC6266 MW 255.303 -30.114 6.8 1.7 -1.18 12.5 13 55 15.1 1.44 5.9 5.1 H DeA05 H
NGC6273 MW 255.657 -26.268 8.8 1.7 -1.74 13.2 26 79 16.8 1.16 5.9 4.8 H DeA05 H
NGC6284 MW 256.119 -24.765 15.3 7.5 -1.26 12.0 4 40 16.4 0.86 5.4 4.6 H DeA05 H
NGC6293 MW 257.542 -26.582 9.5 1.9 -1.99 13.0 3 53 15.7 1.10 5.3 4.4 H Me05 H
NGC6304 MW 258.634 -29.462 5.9 2.3 -0.45 12.8 13 85 17.2 1.65 5.1 4.3 H Do10 H
NGC6316 MW 259.155 -28.140 10.4 2.6 -0.45 nan 10 39 17.4 1.65 5.6 4.6 H nan H
NGC6333 MW 259.797 -18.516 7.9 1.7 -1.77 nan 27 58 17.4 1.16 5.4 4.4 H nan H
NGC6342 MW 260.292 -19.587 8.5 1.7 -0.55 12.5 3 44 17.0 1.40 4.8 3.9 H DeA05 H
NGC6356 MW 260.896 -17.813 15.1 7.5 -0.40 12.8 14 49 17.0 0.86 5.6 4.9 H Me05 H
NGC6352 MW 261.371 -48.422 5.6 3.3 -0.64 13.0 50 123 18.2 0.67 4.8 3.7 H Do10 H
NGC6362 MW 262.979 -67.048 7.6 5.1 -0.99 12.5 68 123 19.3 0.27 5.0 3.3 H Do10 H
NGC6388 MW 264.072 -44.735 9.9 3.1 -0.55 11.8 7 31 14.5 1.13 6.0 5.3 H Mi14 H
NGC6397 MW 265.175 -53.674 2.3 6.0 -2.02 13.5 3 174 15.5 0.55 4.9 3.0 H Do10 H
NGC6440 MW 267.220 -20.360 8.5 1.3 -0.36 nan 8 29 17.1 3.27 5.7 5.1 H nan H
NGC6441 MW 267.554 -37.051 11.6 3.9 -0.46 12.0 8 34 14.9 1.44 6.1 5.5 H Mi14 H
NGC6522 MW 270.892 -30.034 7.7 0.6 -1.34 13.7 3 60 15.8 1.47 5.3 4.3 H Ba09 H
NGC6528 MW 271.207 -30.056 7.9 0.6 -0.11 11.0 8 23 16.7 1.65 4.9 4.5 H La14 H
NGC6541 MW 272.010 -43.715 7.5 2.1 -1.81 13.2 11 64 15.4 0.43 5.6 4.6 H Do10 H
NGC6553 MW 272.323 -25.909 6.0 2.2 -0.18 11.0 32 62 18.2 1.92 5.3 4.2 H Zo01 H
NGC6569 MW 273.412 -31.827 10.9 3.1 -0.76 nan 21 48 18.1 1.62 5.5 4.5 H nan H
NGC6584 MW 274.657 -52.216 13.5 7.0 -1.50 12.2 16 44 17.6 0.31 5.3 4.3 H Do10 H
NGC6624 MW 275.919 -30.361 7.9 1.2 -0.44 13.0 4 49 15.3 0.86 5.2 4.4 H Do10 H
NGC6637 MW 277.846 -32.348 8.8 1.7 -0.64 12.5 20 50 16.8 0.55 5.3 4.4 H Do10 H
NGC6652 MW 278.940 -32.991 10.0 2.7 -0.81 13.2 6 29 16.1 0.27 4.9 4.3 H Do10 H
NGC6656 MW 279.100 -23.905 3.2 4.9 -1.70 13.5 80 202 17.4 1.04 5.6 3.7 H Mi14 H
NGC6681 MW 280.803 -32.292 9.0 2.2 -1.62 13.0 2 43 14.2 0.21 5.1 4.3 H Do10 H
NGC6715 MW 283.764 -30.480 26.5 18.9 -1.49 13.2 5 49 14.8 0.46 6.2 5.7 H Mi14 H
NGC6717 MW 283.775 -22.701 7.1 2.4 -1.26 13.0 5 41 16.8 0.67 4.5 3.8 H Do10 H
NGC6723 MW 284.888 -36.632 8.7 2.6 -1.10 12.8 50 92 18.1 0.15 5.4 3.9 H Do10 H
NGC6752 MW 287.717 -59.985 4.0 5.2 -1.54 12.5 10 115 14.9 0.12 5.3 4.2 H Do10 H
NGC6809 MW 294.999 -30.965 5.4 3.9 -1.94 13.5 108 170 19.4 0.24 5.3 3.0 H Do10 H
NGC6838 MW 298.444 18.779 4.0 6.7 -0.78 12.5 38 100 19.8 0.76 4.5 2.8 H Do10 H
NGC6864 MW 301.520 -21.921 20.9 14.7 -1.29 11.2 5 28 15.5 0.49 5.7 5.2 H Me05 H
NGC6934 MW 308.547 7.404 15.6 12.8 -1.47 12.0 13 41 17.4 0.31 5.2 4.5 H Do10 H
NGC7006 MW 315.372 16.187 41.2 38.5 -1.52 12.2 10 26 18.6 0.15 5.3 4.7 H Do11 H
NGC7078 MW 322.493 12.167 10.4 10.4 -2.37 13.2 8 60 14.2 0.31 5.9 5.3 H Do10 H
NGC7089 MW 323.363 -0.823 11.5 10.4 -1.65 12.5 19 64 15.8 0.18 5.8 4.9 H Do10 H
NGC7099 MW 325.092 -23.180 8.1 7.1 -2.27 13.2 4 62 15.4 0.09 5.2 4.1 H Do10 H
